release,class_name,size,LOC_touched,NR,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,churn,MAX_churn,buggy
3,zookeeper/java/src/com/yahoo/jute/compiler/JString.java,19,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/compiler/JType.java,94,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/compiler/JVector.java,67,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/compiler/JavaGenerator.java,22,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/compiler/generated/ParseException.java,110,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/compiler/generated/Rcc.java,471,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/compiler/generated/RccConstants.java,64,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/compiler/generated/RccTokenManager.java,807,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/compiler/generated/SimpleCharStream.java,353,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/compiler/generated/Token.java,19,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/jute/compiler/generated/TokenMgrError.java,72,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/AsyncCallback.java,27,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/ClientCnxn.java,694,0,0,3,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/KeeperException.java,90,0,0,2,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/ServerAdminClient.java,206,0,0,2,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/Version.java,41,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/Watcher.java,18,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/ZooDefs.java,51,0,0,2,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/ZooKeeper.java,491,0,0,3,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/ByteBufferInputStream.java,45,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/DataNode.java,59,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/DataTree.java,405,27,1,2,6,6,6,6,6,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/FinalRequestProcessor.java,199,0,0,3,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/LogFormatter.java,44,0,0,2,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/NIOServerCnxn.java,630,0,0,2,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/PrepRequestProcessor.java,386,0,0,2,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/PurgeTxnLog.java,52,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/Request.java,131,0,0,3,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/RequestProcessor.java,5,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/ServerCnxn.java,38,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/ServerConfig.java,45,0,0,2,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/ServerStats.java,105,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/SessionTracker.java,14,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/SessionTrackerImpl.java,167,0,0,3,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/SyncRequestProcessor.java,198,0,0,2,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/TraceFormatter.java,90,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/WatchManager.java,66,0,0,2,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/ZooKeeperServer.java,707,0,0,3,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/ZooTrace.java,45,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/auth/AuthenticationProvider.java,9,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/auth/DigestAuthenticationProvider.java,95,0,0,2,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/auth/HostAuthenticationProvider.java,40,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/auth/IPAuthenticationProvider.java,84,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/auth/ProviderRegistry.java,45,0,0,2,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/AckRequestProcessor.java,14,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/AuthFastLeaderElection.java,625,0,0,3,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/CommitProcessor.java,107,0,0,2,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/Election.java,5,0,0,2,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/FastLeaderElection.java,309,0,0,3,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/Follower.java,269,0,0,4,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/FollowerHandler.java,293,0,0,3,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/FollowerRequestProcessor.java,60,0,0,2,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/FollowerSessionTracker.java,44,0,0,2,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/FollowerZooKeeperServer.java,110,0,0,3,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/Leader.java,331,0,0,3,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/LeaderElection.java,139,0,0,3,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/LeaderZooKeeperServer.java,43,0,0,2,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/ProposalRequestProcessor.java,39,0,0,2,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/QuorumCnxManager.java,374,0,0,3,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/QuorumPeer.java,392,0,0,4,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/QuorumPeerConfig.java,175,0,0,3,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/QuorumStats.java,52,0,0,1,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/SendAckRequestProcessor.java,26,0,0,2,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/Vote.java,21,0,0,2,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/server/util/Profiler.java,18,0,0,2,0,0,0,0,0,no
3,zookeeper/java/src/com/yahoo/zookeeper/version/util/VerGen.java,69,0,0,1,0,0,0,0,0,no
5,java/jmx/com/yahoo/zookeeper/jmx/CommonNames.java,6,124,6,2,108,27,18,108,27,no
5,java/jmx/com/yahoo/zookeeper/jmx/MBeanRegistry.java,107,706,6,2,692,173,115,692,173,no
5,java/jmx/com/yahoo/zookeeper/jmx/ZKMBeanInfo.java,5,150,6,2,136,34,22,136,34,no
5,java/jmx/com/yahoo/zookeeper/jmx/server/ConnectionBean.java,70,458,6,2,436,109,72,436,109,no
5,java/jmx/com/yahoo/zookeeper/jmx/server/ConnectionMXBean.java,13,278,6,2,264,66,44,264,66,no
5,java/jmx/com/yahoo/zookeeper/jmx/server/DataTreeBean.java,35,384,6,2,356,89,59,356,89,no
5,java/jmx/com/yahoo/zookeeper/jmx/server/DataTreeMXBean.java,8,190,6,2,176,44,29,176,44,no
5,java/jmx/com/yahoo/zookeeper/jmx/server/ZooKeeperServerBean.java,59,402,6,2,380,95,63,380,95,no
5,java/jmx/com/yahoo/zookeeper/jmx/server/ZooKeeperServerMXBean.java,15,302,6,2,288,72,48,288,72,no
5,java/jmx/com/yahoo/zookeeper/jmx/server/quorum/FollowerBean.java,6,118,6,2,104,26,17,104,26,no
5,java/jmx/com/yahoo/zookeeper/jmx/server/quorum/FollowerMXBean.java,3,110,6,2,96,24,16,96,24,no
5,java/jmx/com/yahoo/zookeeper/jmx/server/quorum/LeaderBean.java,6,122,6,2,108,27,18,108,27,no
5,java/jmx/com/yahoo/zookeeper/jmx/server/quorum/LeaderElectionBean.java,15,180,6,2,164,41,27,164,41,no
5,java/jmx/com/yahoo/zookeeper/jmx/server/quorum/LeaderElectionMXBean.java,5,142,6,2,128,32,21,128,32,no
5,java/jmx/com/yahoo/zookeeper/jmx/server/quorum/LeaderMXBean.java,3,110,6,2,96,24,16,96,24,no
5,java/jmx/com/yahoo/zookeeper/jmx/server/quorum/LocalPeerBean.java,19,202,6,2,184,46,30,184,46,no
5,java/jmx/com/yahoo/zookeeper/jmx/server/quorum/LocalPeerMXBean.java,5,144,6,2,128,32,21,128,32,no
5,java/jmx/com/yahoo/zookeeper/jmx/server/quorum/QuorumBean.java,18,186,6,2,168,42,28,168,42,no
5,java/jmx/com/yahoo/zookeeper/jmx/server/quorum/QuorumMXBean.java,5,138,6,2,124,31,20,124,31,no
5,java/jmx/com/yahoo/zookeeper/jmx/server/quorum/RemotePeerBean.java,18,190,6,2,172,43,28,172,43,no
5,java/jmx/com/yahoo/zookeeper/jmx/server/quorum/RemotePeerMXBean.java,5,138,6,2,124,31,20,124,31,no
5,java/jmx/com/yahoo/zookeeper/jmx/server/quorum/ServerBean.java,12,160,6,2,144,36,24,144,36,no
5,java/jmx/com/yahoo/zookeeper/jmx/server/quorum/ServerMXBean.java,5,138,6,2,124,31,20,124,31,no
5,java/jmx/com/yahoo/zookeeper/server/ManagedZooKeeperServer.java,78,584,6,2,552,138,92,552,138,no
5,java/jmx/com/yahoo/zookeeper/server/ObservableDataTree.java,75,472,6,2,444,111,74,444,111,no
