"dataset","#Training Release","%Training","%Defective in Training","%Defective in Testing","Classifier","Balancing","Feature Selection","Cost Sensitivity","TP","FP","TN","FN","precision","recall","AUC","kappa"
"bookkeeper","5","0.12934089","0.24726027","0.16129032","IBk","no","no","yes","17.0","31.0","229.0","33.0","0.3541666666666667","0.34","0.6895384615384615","0.22439405785770128"
"bookkeeper","5","0.12934089","0.24726027","0.16129032","Random Forest","no","yes","yes","8.0","5.0","255.0","42.0","0.6153846153846154","0.16","0.8666923076923077","0.2007679648930334"
"bookkeeper","5","0.12934089","0.24726027","0.16129032","Naive Bayes","no","yes","yes","2.0","0.0","260.0","48.0","1.0","0.04","0.8158076923076923","0.06532663316582946"
"bookkeeper","5","0.12934089","0.24726027","0.16129032","IBk","no","yes","yes","24.0","47.0","213.0","26.0","0.3380281690140845","0.48","0.7207307692307693","0.25583689575797447"
"bookkeeper","6","0.15680368","0.2322034","0.11290322","Random Forest","no","no","no","33.0","79.0","196.0","2.0","0.29464285714285715","0.9428571428571428","0.881974025974026","0.33448184468592645"
"bookkeeper","6","0.15680368","0.2322034","0.11290322","Naive Bayes","no","no","no","21.0","38.0","237.0","14.0","0.3559322033898305","0.6","0.8511168831168832","0.3554578168732508"
"bookkeeper","6","0.15680368","0.2322034","0.11290322","IBk","no","no","no","26.0","66.0","209.0","9.0","0.2826086956521739","0.7428571428571429","0.8168831168831169","0.2939568782265412"
"bookkeeper","6","0.15680368","0.2322034","0.11290322","Random Forest","no","yes","no","33.0","44.0","231.0","2.0","0.42857142857142855","0.9428571428571428","0.9427532467532468","0.5138083873167405"
"bookkeeper","6","0.15680368","0.2322034","0.11290322","Naive Bayes","no","yes","no","25.0","67.0","208.0","10.0","0.2717391304347826","0.7142857142857143","0.8075324675324675","0.27512906164591555"
"bookkeeper","6","0.15680368","0.2322034","0.11290322","IBk","no","yes","no","33.0","29.0","246.0","2.0","0.532258064516129","0.9428571428571428","0.9482077922077922","0.6265060240963856"
"bookkeeper","6","0.15680368","0.2322034","0.11290322","Random Forest","no","no","yes","12.0","14.0","261.0","23.0","0.46153846153846156","0.34285714285714286","0.8855064935064935","0.3288472791105908"
"bookkeeper","6","0.15680368","0.2322034","0.11290322","Naive Bayes","no","no","yes","17.0","22.0","253.0","18.0","0.4358974358974359","0.4857142857142857","0.8511168831168832","0.38644235526966864"
"bookkeeper","6","0.15680368","0.2322034","0.11290322","IBk","no","no","yes","26.0","62.0","213.0","9.0","0.29545454545454547","0.7428571428571429","0.8166753246753247","0.31154207069127304"
"bookkeeper","6","0.15680368","0.2322034","0.11290322","Random Forest","no","yes","yes","7.0","8.0","267.0","28.0","0.4666666666666667","0.2","0.9300779220779221","0.22768166089965416"
"bookkeeper","6","0.15680368","0.2322034","0.11290322","Naive Bayes","no","yes","yes","1.0","2.0","273.0","34.0","0.3333333333333333","0.02857142857142857","0.8075324675324675","0.03543647363872083"
"bookkeeper","6","0.15680368","0.2322034","0.11290322","IBk","no","yes","yes","31.0","22.0","253.0","4.0","0.5849056603773585","0.8857142857142857","0.948","0.6580398812049215"
"bookkeeper","7","0.18426648","0.21442308","0.1","Random Forest","no","no","no","20.0","41.0","355.0","24.0","0.32786885245901637","0.45454545454545453","0.8188418273645547","0.29956896551724155"
"bookkeeper","7","0.18426648","0.21442308","0.1","Naive Bayes","no","no","no","15.0","21.0","375.0","29.0","0.4166666666666667","0.3409090909090909","0.8255280073461891","0.31318681318681296"
"bookkeeper","7","0.18426648","0.21442308","0.1","IBk","no","no","no","21.0","36.0","360.0","23.0","0.3684210526315789","0.4772727272727273","0.8154556932966024","0.3415178571428573"
"bookkeeper","7","0.18426648","0.21442308","0.1","Random Forest","no","yes","no","21.0","51.0","345.0","23.0","0.2916666666666667","0.4772727272727273","0.8264462809917356","0.27165354330708663"
"bookkeeper","7","0.18426648","0.21442308","0.1","Naive Bayes","no","yes","no","34.0","80.0","316.0","10.0","0.2982456140350877","0.7727272727272727","0.8223427456382002","0.33431952662721875"
"bookkeeper","7","0.18426648","0.21442308","0.1","IBk","no","yes","no","27.0","52.0","344.0","17.0","0.34177215189873417","0.6136363636363636","0.8164600550964187","0.35634328358208944"
"bookkeeper","7","0.18426648","0.21442308","0.1","Random Forest","no","no","yes","1.0","5.0","391.0","43.0","0.16666666666666666","0.022727272727272728","0.8244662534435262","0.016393442622950918"
"bookkeeper","7","0.18426648","0.21442308","0.1","Naive Bayes","no","no","yes","0.0","0.0","396.0","44.0","NaN","0.0","0.8255280073461891","0.0"
"bookkeeper","7","0.18426648","0.21442308","0.1","IBk","no","no","yes","21.0","32.0","364.0","23.0","0.39622641509433965","0.4772727272727273","0.8153409090909091","0.36342592592592604"
"bookkeeper","7","0.18426648","0.21442308","0.1","Random Forest","no","yes","yes","3.0","8.0","388.0","41.0","0.2727272727272727","0.06818181818181818","0.8411673553719008","0.07196969696969721"
"bookkeeper","7","0.18426648","0.21442308","0.1","Naive Bayes","no","yes","yes","1.0","0.0","396.0","43.0","1.0","0.022727272727272728","0.8223427456382002","0.040178571428570876"
"bookkeeper","7","0.18426648","0.21442308","0.1","IBk","no","yes","yes","26.0","47.0","349.0","18.0","0.3561643835616438","0.5909090909090909","0.8166896235078053","0.3652343750000002"
"bookkeeper","8","0.22324592","0.19444445","0.16173121","Random Forest","no","no","no","34.0","36.0","332.0","37.0","0.4857142857142857","0.4788732394366197","0.8337033067973055","0.38322523528166463"
"bookkeeper","8","0.22324592","0.19444445","0.16173121","Naive Bayes","no","no","no","28.0","9.0","359.0","43.0","0.7567567567567568","0.39436619718309857","0.8426018064911206","0.4585132122017174"
"bookkeeper","8","0.22324592","0.19444445","0.16173121","IBk","no","no","no","27.0","34.0","334.0","44.0","0.4426229508196721","0.38028169014084506","0.7577311696264544","0.30523881020979576"
"bookkeeper","8","0.22324592","0.19444445","0.16173121","Random Forest","no","yes","no","39.0","29.0","339.0","32.0","0.5735294117647058","0.5492957746478874","0.8548109308022045","0.4786527791297577"
"bookkeeper","8","0.22324592","0.19444445","0.16173121","Naive Bayes","no","yes","no","37.0","17.0","351.0","34.0","0.6851851851851852","0.5211267605633803","0.8425252602571953","0.5257271167411613"
"bookkeeper","8","0.22324592","0.19444445","0.16173121","IBk","no","yes","no","25.0","29.0","339.0","46.0","0.46296296296296297","0.352112676056338","0.7572144825474587","0.3025398775605312"
"bookkeeper","8","0.22324592","0.19444445","0.16173121","Random Forest","no","no","yes","3.0","1.0","367.0","68.0","0.75","0.04225352112676056","0.8404011022657685","0.06385017152393649"
"bookkeeper","8","0.22324592","0.19444445","0.16173121","Naive Bayes","no","no","yes","15.0","4.0","364.0","56.0","0.7894736842105263","0.2112676056338028","0.8426018064911206","0.28447245463435855"
"bookkeeper","8","0.22324592","0.19444445","0.16173121","IBk","no","no","yes","26.0","34.0","334.0","45.0","0.43333333333333335","0.36619718309859156","0.7577311696264544","0.2920655657392476"
