"dataset","#Training Release","%Training","%Defective in Training","%Defective in Testing","Classifier","Balancing","Feature Selection","Cost Sensitivity","TP","FP","TN","FN","precision","recall","AUC","kappa"
"zookeeper","5","0.051924743","0.08104887","0.029761905","IBk","No","yes","no","5.0","2.0","161.0","0.0","0.7142857142857143","1.0","1.0","0.8273381294964034"
"zookeeper","5","0.051924743","0.08104887","0.029761905","Random Forest","No","no","yes","0.0","0.0","163.0","5.0","NaN","0.0","0.9901840490797545","0.0"
"zookeeper","5","0.051924743","0.08104887","0.029761905","Naive Bayes","No","no","yes","1.0","3.0","160.0","4.0","0.25","0.2","0.8196319018404908","0.20108695652174016"
"zookeeper","5","0.051924743","0.08104887","0.029761905","IBk","No","no","yes","4.0","5.0","158.0","1.0","0.4444444444444444","0.8","0.9527607361963191","0.5543766578249338"
"zookeeper","5","0.051924743","0.08104887","0.029761905","Random Forest","No","yes","yes","0.0","0.0","163.0","5.0","NaN","0.0","1.0","0.0"
"zookeeper","5","0.051924743","0.08104887","0.029761905","Naive Bayes","No","yes","yes","0.0","4.0","159.0","5.0","0.0","0.0","0.8134969325153374","-0.027173913043478458"
"zookeeper","5","0.051924743","0.08104887","0.029761905","IBk","No","yes","yes","5.0","2.0","161.0","0.0","0.7142857142857143","1.0","1.0","0.8273381294964034"
"zookeeper","6","0.06232207","0.072492555","0.041666668","Random Forest","No","no","no","4.0","3.0","158.0","3.0","0.5714285714285714","0.5714285714285714","0.8181011535048802","0.5527950310559011"
"zookeeper","6","0.06232207","0.072492555","0.041666668","Naive Bayes","No","no","no","1.0","5.0","156.0","6.0","0.16666666666666666","0.14285714285714285","0.7395740905057675","0.11999999999999965"
"zookeeper","6","0.06232207","0.072492555","0.041666668","IBk","No","no","no","4.0","1.0","160.0","3.0","0.8","0.5714285714285714","0.8504880212954747","0.6546762589928052"
"zookeeper","6","0.06232207","0.072492555","0.041666668","Random Forest","No","yes","no","4.0","1.0","160.0","3.0","0.8","0.5714285714285714","0.8172138420585625","0.6546762589928052"
"zookeeper","6","0.06232207","0.072492555","0.041666668","Naive Bayes","No","yes","no","2.0","7.0","154.0","5.0","0.2222222222222222","0.2857142857142857","0.7395740905057675","0.2131147540983611"
"zookeeper","6","0.06232207","0.072492555","0.041666668","IBk","No","yes","no","4.0","0.0","161.0","3.0","1.0","0.5714285714285714","0.8518189884649512","0.7187499999999992"
"zookeeper","6","0.06232207","0.072492555","0.041666668","Random Forest","No","no","yes","2.0","0.0","161.0","5.0","1.0","0.2857142857142857","0.8207630878438332","0.4339622641509437"
